country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,totalTests,testsPerOneMillion
Namibia,31,2,0,0,16.0,15.0,1,12,0,4943,1948
St. Vincent Grenadines,27,0,0,0,16.0,11.0,0,243,0,638,5752
Antigua and Barbuda,26,0,3,0,20.0,3.0,1,266,31,246,2513
Gambia,26,0,1,0,21.0,4.0,0,11,0,1907,791
Timor-Leste,24,0,0,0,24.0,0.0,0,18,0,1568,1191
Grenada,23,0,0,0,22.0,1.0,2,204,0,3516,31256
Curaçao,21,0,1,0,15.0,5.0,0,128,6,985,6004
New Caledonia,20,0,0,0,19.0,1.0,0,70,0,7065,24762
Belize,19,0,2,0,16.0,1.0,0,48,5,1741,4384
Laos,19,0,0,0,18.0,1.0,0,3,0,8607,1184
Saint Lucia,19,0,0,0,18.0,1.0,0,103,0,1204,6559
Dominica,18,0,0,0,16.0,2.0,0,250,0,534,7419
Fiji,18,0,0,0,18.0,0.0,0,20,0,2431,2713
Saint Kitts and Nevis,15,0,0,0,15.0,0.0,0,282,0,408,7673
Falkland Islands,13,0,0,0,13.0,0.0,0,3744,0,535,154090
Greenland,13,0,0,0,13.0,0.0,0,229,0,2371,41769
Turks and Caicos,12,0,1,0,11.0,0.0,0,310,26,192,4964
Vatican City,12,0,0,0,12.0,0.0,0,14981,0,0,0
Montserrat,11,0,1,0,10.0,0.0,0,2204,200,61,12220
Seychelles,11,0,0,0,11.0,0.0,0,112,0,0,0
MS Zaandam,9,0,2,0,0.0,7.0,0,0,0,0,0
Western Sahara,9,0,1,0,6.0,2.0,0,15,2,0,0
British Virgin Islands,8,0,1,0,7.0,0.0,0,265,33,167,5527
Papua New Guinea,8,0,0,0,8.0,0.0,0,0,0,4646,520
Caribbean Netherlands,7,0,0,0,7.0,0.0,0,267,0,424,16179
St. Barth,6,0,0,0,6.0,0.0,0,608,0,152,15392
Lesotho,4,0,0,0,2.0,2.0,0,2,0,1515,708
Anguilla,3,0,0,0,3.0,0.0,0,200,0,41,2734
Saint Pierre Miquelon,1,0,0,0,1.0,0.0,0,173,0,0,0
China,83040,4,4634,0,78341.0,65.0,1,58,3,0,0
